Primary Key,Order No_x,Segment Number_x,Order Date,Manufacturer,Model,Product Category,Model Year,Serial Number,Meter 1 Reading,Complaint,Cause,Correction,Failure Condition - Failure Component,Fix Condition - Fix Component,Order No_y,Segment Number_y,Coverage,Qty,Part Manufacturer,Part Number,Part Description,Revenue,Cost,Invoice Date,Actual Hours,Segment Total $
SO0018596-13,SO0018596,13,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed",Missed - Boom,"Bracket - Installed, Bolt - Installed",SO0018596,13.0,Not Available,1.0,PASE,14041035     PASE,HOSE,275.0,170.31,2022-07-22,60.06960000000001,47856.9793$
SO0018596-3,SO0018596,3,2022-05-09,PASEIH,6780,APPL,0,YFT042399,2579.1999,Alternator not charging.,Unknown,"Connections to the alternator cleaned. Check whether the chassis is well grounded. Tension checked on the path cable. If you dealt with the standard cabling with one set of bridging cables and the alternator manually excited, it still did not let yourself be loaded",Error Code - Nozzle,No Component Mentioned - No Component Mentioned,SO0018596,3.0,Mark 102-970-7135,1.0,PASE,888711R7-Q     PASE,REMAN-ALTERNATOR,550.0,345.8299,2022-05-12,3.68,1034.17$
SO0018596-4,SO0018596,4,2022-05-12,PASEIH,6780,APPL,0,YFT042373,2409.5,Having fan belt issues,Unknown,"The customer had problems with the device eating the fan straps. Jordan isolated it on the fan strap. I removed the fan strap and then removed the tensioner. The crankshaft slice was full of manure and sharp edges, so I let the device run and used a wire brush to clean the G",Not Opening - Door,Gas Strut - Installed,SO0018596,4.0,mike 780-305-1900,1.0,PASE,8392418     PASE,TENSIONER  BELT,219.0,153.3,2022-05-23,2.2199999999999998,601.7699$
SO0018596-5,SO0018596,5,2022-05-12,PASEIH,6780,APPL,0,YFT042373,2409.5,Having fan belt issues,Unknown,"The customer had problems with the device eating the fan straps. Jordan isolated it on the fan strap. I removed the fan strap and then removed the tensioner. The crankshaft slice was full of manure and sharp edges, so I let the device run and used a wire brush to clean the G","Loose - Clip, Loose - Duct, Not Locked - Bulkhead","P Clip - Retightened, Nut - Retightened, Bolt - Retightened",SO0018596,5.0,mike 780-305-1900,1.0,PASE,32977372     PASE,BULK HYTRAN/SHOP,4.0,2.54,2022-05-23,2.2199999999999998,601.7699$
SO0018596-6,SO0018596,6,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed",Crushed - Compressor,Compressor Line - Replaced,SO0018596,6.0,Not Available,1.0,PASE,MOB499479     PICK,O-RING,1.7,0.94,2022-07-22,60.06960000000001,47856.9793$
SO0020073-1,SO0020073,1,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed",Oil Leak - Machine,"Fitting - Retightened, O Ring - Replaced, Hose - Reinstalled, Hydraulic Reservoir - Topped Off",SO0020073,1.0,Not Available,1.0,PASE,32114949     PASE,HOSE,120.0,93.75,2022-07-22,60.06960000000001,47856.9793$
SO0020073-2,SO0020073,2,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed","Not Used - Mirror, Not Mentioned - Valve, Not Mentioned - NCV, Not Mentioned - Nozzle, Not Mentioned - Cap","Flush Valve - Installed, Beacon - Installed, Side Panel - Installed, Step - Installed, Camera - Installed, Monitor - Setting Up",SO0020073,2.0,Not Available,2.0,PICK,5440492     PICK,MOBIL DELVAC SYN AFT,122.56,81.7,2022-07-22,60.06960000000001,47856.9793$
SO0020073-6,SO0020073,6,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed","Oil Leak - Gear Pump, Oil Leak - Port, Water Leak - Air Line, Rubbed - Shield, Damaged - Hydraulic System","Fitting - Retightened, O Ring - Replaced",SO0020073,6.0,Not Available,1.0,PASE,34475IN     PICK,LATCH,78.0,44.73,2022-07-22,60.06960000000001,47856.9793$
SO0020073-7,SO0020073,7,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed","Hit - Tank, Hit - Rail, Not Cradling - Boom","Nozzle - Switched, Boom Saddle - Tested",SO0020073,7.0,Not Available,1.0,PICK,JB94A     PICK,TENSIONER,339.12,240.12,2022-07-22,60.06960000000001,47856.9793$
SO0020529-2,SO0020529,2,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed","Oil Leak - Gear Pump, Oil Leak - Port, Water Leak - Air Line, Rubbed - Shield, Damaged - Hydraulic System","Fitting - Retightened, O Ring - Replaced",SO0020529,2.0,Not Available,90.0,PICK,1344341412ER     PASE,3/8 FUEL HOSE,26.1,11.27,2022-07-22,60.06960000000001,47856.9793$
SO0022590-3,SO0022590,3,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed",Leak - Hose,O Ring - Installed,SO0022590,3.0,Not Available,1.0,PICK,1344341412EPAC     PASE,BRAKE CLEANER,13.99,9.79,2022-07-22,60.06960000000001,47856.9793$
SO0023561-1,SO0023561,1,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed",Oil Leak - Machine,"Quick Connect Software - Reassembled, O Ring - Matched, Hydraulic Reservoir - Topped Off",SO0023561,1.0,Not Available,1.0,PASE,32924281     PASE,REMAN ENGINE,41540.0,28636.33,2022-07-22,60.06960000000001,47856.9793$
SO0023561-3,SO0023561,3,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed","Oil Leak - No Component Mentioned, Damaged - O Ring, Protruded - O Ring",No Component Mentioned - No Component Mentioned,SO0023561,3.0,Not Available,-1.0,PASE,47188591     PASE,REMAN ENGINE,-3000.0,-3000.0,2022-07-22,60.06960000000001,47856.9793$
SO0023561-4,SO0023561,4,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed",Broken - Harness,NCV Harness - Replaced,SO0023561,4.0,Not Available,4.0,PASE,493035A4     PASE,CLAMP,69.0,34.8,2022-07-22,60.06960000000001,47856.9793$
SO0024239-1,SO0024239,1,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed",Leak - Tank,"Old Tube - Freed, Connector - Cleaned",SO0024239,1.0,Not Available,1.0,PASE,25504750     PASE,BOLT  FLANGE,8.0999,2.6099,2022-07-22,60.06960000000001,47856.9793$
SO0024239-2,SO0024239,2,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed","Not Mentioned - Light, Incorrect - No Component Mentioned, Not Settling - No Component Mentioned, Not Settling - Boom, Low - Boom, Hard To Set - Boom, Leak - Boom","Boom Light - Realigned, Left Boom Connector - Retightened",SO0024239,2.0,Not Available,3.0,PASE,40013734     PASE,O-RING,9.3,5.5499,2022-07-22,60.06960000000001,47856.9793$
SO0024239-4,SO0024239,4,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed",Not Installed - Nozzle,No Component Mentioned - No Component Mentioned,SO0024239,4.0,Not Available,1.0,PASE,924845     PASE,PAG OIL SINGLE,44.5,19.8,2022-07-22,60.06960000000001,47856.9793$
SO0024736-7,SO0024736,7,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed",Oil Leak - Steering,No Component Mentioned - No Component Mentioned,SO0024736,7.0,Not Available,1.0,PASE,2573910     PASE,O-RING,3.95,1.62,2022-07-22,60.06960000000001,47856.9793$
SO0024736-8,SO0024736,8,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed",Open - Fuel System,No Component Mentioned - No Component Mentioned,SO0024736,8.0,Not Available,2.0,PASE,2394197     PASE,O-RING,5.4,2.3999,2022-07-22,60.06960000000001,47856.9793$
SO0024736-9,SO0024736,9,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed",Oil Leak - Tire,O Ring - Replaced,SO0024736,9.0,Not Available,25.0,PASE,140541234     PASE,NO.1-15W40 CJ4QT,97.0,65.0,2022-07-22,60.06960000000001,47856.9793$
SO0024816-1,SO0024816,1,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed",Leak - Cooler,"O Ring - Installed, Fitting - Retightened",SO0024816,1.0,Not Available,1.0,PASE,1435234     PASE,GASKET,9.8,5.99,2022-07-22,60.06960000000001,47856.9793$
SO0024816-15,SO0024816,15,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed",Leak - Hose,"O Ring - Replaced, No Component Mentioned - Filled",SO0024816,15.0,Not Available,1.0,PASE,2081184     PASE,FILTER RECEIVERDRYER,70.25,41.8999,2022-07-22,60.06960000000001,47856.9793$
SO0024816-16,SO0024816,16,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed",Frozen - No Component Mentioned,"Tank - Drained, Rinse Tank - Drained, Boom - Drained, Recirculation System - Drained, Inductor - Drained, Filter Bowl - Removed, Filter - Cleaned, Filter - Reinstalled, Rinse Tank - Filled, RV - Filled",SO0024816,16.0,Not Available,1.0,PASE,02348793R     PASE,BELT TENSIONER,215.0,129.0,2022-07-22,60.06960000000001,47856.9793$
SO0024816-17,SO0024816,17,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed",Leak - Boom,Pressure Regulator - Installed,SO0024816,17.0,Not Available,0.0,PASE,2119183     PASE,TENSIONER  BELT,0.0,0.0,2022-07-22,60.06960000000001,47856.9793$
SO0024816-19,SO0024816,19,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed","Hit - Nozzle, Damaged - No Component Mentioned","Plate - Installed, Hardware - Installed, Hardware - Retightened, Shield - Created",SO0024816,19.0,Not Available,2.0,PASE,84578037     PASE,"WASHER,SEALING",5.4,1.7198,2022-07-22,60.06960000000001,47856.9793$
SO0024816-2,SO0024816,2,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed","Not Mentioned - Engine, Not Mentioned - Fuel Filter, Not Mentioned - Filter, Not Mentioned - Hydraulic System","Engine - Replaced, Fuel Filter - Replaced, Hydraulic Oil Tank - Topped Off",SO0024816,2.0,Not Available,10.0,PASE,84550889     PASE,HOSE,375.0,192.2,2022-07-22,60.06960000000001,47856.9793$
SO0024816-3,SO0024816,3,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed",Leak - Hydraulic Tank,"Hose - Reinstalled, Fitting - Retightened, Hydraulic Tank - Refilled",SO0024816,3.0,Not Available,1.0,PASE,84534247     PASE,REMAN-A/C COMPRESSOR,466.0,317.18,2022-07-22,60.06960000000001,47856.9793$
SO0024905-2,SO0024905,2,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed","Blocked - Hub, Not Mentioned - Hydraulic Filter, Not Mentioned - Filter, Not Mentioned - Engine, Not Mentioned - Filter","Hub - Serviced, Hydraulic Filter - Replaced, Engine - Replaced, Engine Oil Filter - Replaced",SO0024905,2.0,Not Available,1.0,PASE,37834528     PASE,BELT,46.75,28.9499,2022-07-22,60.06960000000001,47856.9793$
SO0025176-1,SO0025176,1,2023-03-04,PASEIH,9991 LIQ SYS,SPRAYS,2020,YLT050852,1546.0,Air ride adjustment and axle adjustment are not available on pro700,Unknown,Connect EST to check the software versions. The machine does not let dpa switch on. Check five scheme and replace backup,Not Mentioned - Not Mentioned,"Boom Recirculation System - Installed, Guidance - Installed",SO0025176,1.0,Not Available,0.0,PASE,37834534     PASE,KIT,0.0,0.0,2023-05-16,8.3199,1319.25$
SO0025176-2,SO0025176,2,2023-03-04,PASEIH,9991 LIQ SYS,SPRAYS,2020,YLT050852,1792.0,Perform PIP CS0722,Perform PIP CS0722,"Mark screws. Check torque for 450. Hardware has not moved. Order new hardware per PIP. Service call 33 miles. Remove and replace screws in the update. Clean the thread, install Loctite. Torque on 570 Foot Pound.",Leak - Nozzle,Fence Row Nozzle - Replaced,SO0025176,2.0,Not Available,2.0,PASE,32198547     PASE,SCREW  12 PT,29.24,24.3599,2023-05-16,2.9999000000000002,493.88$
SO0025403-1,SO0025403,1,2023-03-08,PASEIH,9861,SPRAYS,0,YPT056717,12.0,Fuel door will not stay open,GAS STRUT NOT INSTALLED OR ANYWHERE ON MACHINE,"It was found that the gas pressure spring is not installed or nowhere on the machine. Install the gas pressure spring, let it run and test",Error Code - Sensor,Sensor - Replaced,SO0025403,1.0,Not Available,1.0,PASE,84088173     PASE,GAS STRUT,12.97,10.81,2023-04-25,1.28,211.22$
SO0025623-3,SO0025623,3,2023-03-08,PASEIH,9861,SPRAYS,0,YPT056717,0.0,VISIBLY NOTICE fasteners under cab on P clips and air ducting left Loose,Not tighten at factory.,"All P-clips, nuts and screws go through and move in. Also found two bulkhead connections, not fully locked, left back of the machine and one on the right boom. Running tests no mistake",Broken - Harness,No Component Mentioned - No Component Mentioned,SO0025623,3.0,Not Available,4.0,PASE,25500593     PASE,BOLT,5.9199,4.9199,2023-04-25,2.28,368.7298$
SO0025623-4,SO0025623,4,2023-03-08,PASEIH,9861,SPRAYS,0,YPT056717,0.0,VISIBLY NOTICE fasteners under cab on P clips and air ducting left Loose,Not tighten at factory.,"All P-clips, nuts and screws go through and move in. Also found two bulkhead connections, not fully locked, left back of the machine and one on the right boom. Running tests no mistake",Inoperative - Boom,No Component Mentioned - No Component Mentioned,SO0025623,4.0,Not Available,4.0,PASE,124437     PASE,BOLT,3.76,3.12,2023-04-25,2.28,368.7298$
SO0026296-1,SO0026296,1,2023-03-08,PASEIH,9861,SPRAYS,0,YPT056717,0.0,VISIBLY NOTICE fasteners under cab on P clips and air ducting left Loose,Not tighten at factory.,"All P-clips, nuts and screws go through and move in. Also found two bulkhead connections, not fully locked, left back of the machine and one on the right boom. Running tests no mistake",Leak - Tank,"Clamp - Removed, O Ring - Inspected",SO0026296,1.0,Not Available,8.0,PASE,2271313     PASE,WASHER,5.9199,5.56,2023-04-25,2.28,368.7298$
SO0026385-1,SO0026385,1,2023-03-08,PASEIH,9861,SPRAYS,0,YPT056717,14.0,"Compressor pressure line, braided steel, crushed","Compressor pressure line, braided steel, crushed when deliverd.",Drain air from the system. Remove the associated P-clips. Remove and replace braided steel compressor cable. Ongoing test.,Error Code - Module,"Supply Module - Cleared Fault, Supply Module - Reset",SO0026385,1.0,Not Available,1.0,PASE,472973     PASE,HOSE,114.23,95.1899,2023-04-25,0.6999,516.92$
SO0026385-11,SO0026385,11,2023-03-08,PASEIH,9861,SPRAYS,0,YPT056717,0.0,Oil running from bottom of machine,OIL RETURN UNDER MACHINE SWIVEL FITTING LEFT LOOSE AT FACTORY,Oil return under the shooting connection of the machine. Use the connection after the torque and test run. Closes still leaking? Remove the hose from the block. Replace the O-ring on the boss and reinstall. Fill up the hydraulic container,"Inconsistent Folding - Boom, Hit - Cradle",No Component Mentioned - No Component Mentioned,SO0026385,11.0,Not Available,1.0,PASE,8390414     PASE,OIL HV46 5GAL HYDRAULIC,120.12,92.09,2023-04-25,5.2999,493.24$
SO0026385-4,SO0026385,4,2023-03-08,PASEIH,9861,SPRAYS,0,YPT056717,0.0,Oil running from bottom of machine,OIL RETURN UNDER MACHINE SWIVEL FITTING LEFT LOOSE AT FACTORY,Oil return under the shooting connection of the machine. Use the connection after the torque and test run. Closes still leaking? Remove the hose from the block. Replace the O-ring on the boss and reinstall. Fill up the hydraulic container,Leak - Boom,No Component Mentioned - No Component Mentioned,SO0026385,4.0,Not Available,0.0,PASE,14008935     PASE,O-RING,0.0,0.0,2023-04-25,5.2999,493.24$
SO0027106-1,SO0027106,1,2023-03-08,PASEIH,9861,SPRAYS,0,YPT056717,0.0,Oil running from bottom of machine,OIL RETURN UNDER MACHINE SWIVEL FITTING LEFT LOOSE AT FACTORY,Oil return under the shooting connection of the machine. Use the connection after the torque and test run. Closes still leaking? Remove the hose from the block. Replace the O-ring on the boss and reinstall. Fill up the hydraulic container,Smashed - Camera,Camera - Installed,SO0027106,1.0,Not Available,0.0,PASE,14114325     PASE,COUPLING  QUICK  FEM,0.0,0.0,2023-04-25,5.2999,493.24$
SO0027642-2,SO0027642,2,2023-03-08,PASEIH,9861,SPRAYS,0,YPT056717,0.0,Oil running from bottom of machine,OIL RETURN UNDER MACHINE SWIVEL FITTING LEFT LOOSE AT FACTORY,Oil return under the shooting connection of the machine. Use the connection after the torque and test run. Closes still leaking? Remove the hose from the block. Replace the O-ring on the boss and reinstall. Fill up the hydraulic container,Not Mentioned - Machine,"No Component Mentioned - Drained, Oil Filter - Replaced, Hydraulic Filter - Replaced, Transmission Filter - Replaced",SO0027642,2.0,Not Available,1.0,PASE,BN14999     PASE,O-RING,0.94,0.7,2023-04-25,5.2999,493.24$
